Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
10/12/2017 8:47,10/12/2017 8:59,31255,24th & N St NW,31259,20th St & Virginia Ave NW,W20529,Member
10/12/2017 13:13,10/12/2017 13:37,31275,New Hampshire Ave & 24th St NW,31503,Florida Ave & R St NW,W20529,Member
10/12/2017 13:40,10/12/2017 13:48,31503,Florida Ave & R St NW,31101,14th & V St NW,W20529,Member
10/12/2017 13:49,10/12/2017 13:53,31101,14th & V St NW,31201,15th & P St NW,W20529,Member
10/12/2017 14:33,10/12/2017 14:39,31201,15th & P St NW,31101,14th & V St NW,W20529,Member
10/13/2017 15:55,10/13/2017 15:59,31319,Wisconsin Ave & Brandywine St NW,31317,Wisconsin Ave & Ingomar St NW,W20529,Member
10/17/2017 17:58,10/17/2017 18:01,31317,Wisconsin Ave & Ingomar St NW,31309,Fessenden St & Wisconsin Ave NW,W20529,Member
10/19/2017 20:21,10/19/2017 20:29,31317,Wisconsin Ave & Ingomar St NW,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,W20529,Member
10/19/2017 21:11,10/19/2017 21:29,31303,Tenleytown / Wisconsin Ave & Albemarle St NW,31200,Massachusetts Ave & Dupont Circle NW,W20529,Member
10/19/2017 21:30,10/19/2017 21:47,31200,Massachusetts Ave & Dupont Circle NW,31638,1st & H St NW,W20529,Member
10/19/2017 21:47,10/19/2017 21:57,31638,1st & H St NW,31617,Bladensburg Rd & Benning Rd NE,W20529,Member
10/19/2017 21:57,10/19/2017 22:09,31617,Bladensburg Rd & Benning Rd NE,31703,Minnesota Ave Metro/DOES,W20529,Member
10/21/2017 12:24,10/21/2017 12:36,31703,Minnesota Ave Metro/DOES,31617,Bladensburg Rd & Benning Rd NE,W20529,Member
10/21/2017 12:36,10/21/2017 12:42,31617,Bladensburg Rd & Benning Rd NE,31616,3rd & H St NE,W20529,Member
10/21/2017 13:47,10/22/2017 11:09,31616,3rd & H St NE,31607,14th & D St SE,W20529,Member
10/22/2017 13:28,10/22/2017 13:31,31607,14th & D St SE,31626,15th St & Massachusetts Ave SE,W20529,Member
10/22/2017 13:47,10/22/2017 13:56,31626,15th St & Massachusetts Ave SE,31610,Eastern Market / 7th & North Carolina Ave SE,W20529,Member
10/22/2017 14:26,10/22/2017 14:32,31618,4th & East Capitol St NE,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,W20529,Member
10/22/2017 14:54,10/22/2017 15:09,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31624,North Capitol St & F St NW,W20529,Member
